page;type;url;domaine;ancre
11.html;externe;https://ua.ambafrance.org/Povernennya-do-Franciiyi-z-nepovnoliitniimi-diit-mi-dlya-siimej-yakii;ua.ambafrance.org;з неповнолітніми дітьми для сімей
11.html;externe;https://drive.google.com/file/d/1Fc6o1K2Yql07jiZRLKOjz6FKHESZXxxy/view;drive.google.com;сімейний порадник :
11.html;externe;https://www.facebook.com/105890285415916/posts/pfbid0p17Eumk6Cti4XVw9J5ptRcZKYDpdmUweNFk3kHJavSw7EpAyMkY7ncCAxbPRprFPl/?d=n;www.facebook.com;Як оформити «довіреність на дитину»? Як «призначити опікуна» моїй дитині?
11.html;externe;https://www-service--public-fr.translate.goog/particuliers/vosdroits/F1359?_x_tr_sl=auto&_x_tr_tl=uk&_x_tr_hl=fr&_x_tr_pto=wapp;www-service--public-fr.translate.goog;дозвіл на виїзд з території (AST),
11.html;externe;https://www-service--public-fr.translate.goog/particuliers/vosdroits/F2687?_x_tr_sl=fr&_x_tr_tl=uk&_x_tr_hl=fr&_x_tr_pto=wapp;www-service--public-fr.translate.goog;проживання іноземній дитині?
11.html;externe;https://www-education-gouv-fr.translate.goog/les-colos-apprenantes-304050?fs=e&s=cl&_x_tr_sl=auto&_x_tr_tl=uk&_x_tr_hl=fr&_x_tr_pto=wapp;www-education-gouv-fr.translate.goog;табори для ваших дітей
11.html;externe;https://www.education.gouv.fr/media/114971/download?fs=e&s=cl;www.education.gouv.fr;листівка
11.html;externe;https://monenfant.fr/;monenfant.fr;https://monenfant.fr/
11.html;externe;https://www.sortiraparis.com/ru/detskaya-sem-ya/articles/287872-article;www.sortiraparis.com;https://www.sortiraparis.com/ru/detskaya-sem-ya/articles/287872-article
11.html;externe;https://t.me/RoditeliParentsFrance;t.me;Група батьків у Франції:
11.html;interne;mineur-non-accompagne.html;;
11.html;interne;narodzhenia.html;;
11.html;interne;mineur-consulat.html;;
11.html;interne;mineur-ecole.html;;
11.html;interne;mineur-divers.html;;
11.html;externe;http://www.annuaires.justice.gouv.fr/;www.annuaires.justice.gouv.fr;http://www.annuaires.justice.gouv.fr
11.html;externe;https://www.facebook/;www.facebook;https://www.facebook
11.html;externe;https://www.facebook.com/coordaideukraine/photos/pb.100080904194982.-2207520000../131533952851549/;www.facebook.com;https://www.facebook.com/coordaideukraine/photos/pb.100080904194982.-2207520000../131533952851549/
11.html;externe;https://www.allo119.gouv.fr/;www.allo119.gouv.fr;https://www.allo119.gouv.fr/
11.html;externe;https://www.service-public.fr/particuliers/vosdroits/F952;www.service-public.fr;https://www.service-public.fr/particuliers/vosdroits/F952
11.html;externe;https://www.service-public.fr/particuliers/vosdroits/F3135;www.service-public.fr;https://www.service-public.fr/particuliers/vosdroits/F3135
11.html;externe;https://www.service-public.fr/particuliers/vosdroits/F3140;www.service-public.fr;https://www.service-public.fr/particuliers/vosdroits/F3140
11.html;externe;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006070721/LEGISCTA000006150527;www.legifrance.gouv.fr;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006070721/LEGISCTA000006150527
11.html;externe;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006070716/LEGISCTA000006149804;www.legifrance.gouv.fr;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006070716/LEGISCTA000006149804
11.html;externe;https://www.ladepeche.fr/;www.ladepeche.fr;https://www.ladepeche.fr/
11.html;mailto;mailto:contact@ukrainefrance.org;;mailto:contact@ukrainefrance.org
12.html;interne;index.html;;На головну
12.html;interne;1.html;;чому?
12.html;interne;2.html;;прибуття
12.html;interne;20.html;;прибуття_Париж
12.html;interne;3.html;;Переміщення
12.html;interne;4.html;;житло
12.html;interne;5.html;;лікувати
12.html;interne;75.html;;ВНЖ, Інші статуси
12.html;interne;76.html;;Порівняння внж
12.html;interne;77.html;;Запит Азіль
12.html;interne;6.html;;тимчасового захисту
12.html;interne;7.html;;працювати
12.html;interne;8.html;;надзвичайна ситуація
12.html;interne;9.html;;вивчати французьку
12.html;interne;10.html;;практична інформація і посилання
12.html;interne;je-suis-francais-je-veux-aider-.html;;Je suis français je veux aider !
12.html;interne;11.html;;діти та неповнолітні
12.html;interne;13.html;;їсти
12.html;interne;12.html;;Домашні тварини
12.html;interne;14.html;;дешеві продукти
12.html;interne;15.html;;Допомога,банк та гроші
12.html;interne;19.html;;лікар
12.html;interne;16.html;;виїзд з україни
12.html;interne;17.html;;студент
12.html;interne;72.html;;Студент та ВНЗ
12.html;interne;73.html;;Після ВНЗ
12.html;interne;18.html;;дозвілля
12.html;interne;deplacer-france.html;;déplacer_france
12.html;interne;deplacer-paris.html;;deplacer_paris
12.html;interne;deplacer-europe.html;;deplacer_europe
12.html;interne;deplacer-voiture.html;;deplacer_voiture
12.html;interne;soigner-sans.html;;soigner_sans
12.html;interne;soigner-protection.html;;soigner_protection
12.html;interne;soigner-avec.html;;soigner_avec
12.html;interne;soigner-psy.html;;soigner_psy
12.html;interne;soigner-medic.html;;soigner_medic
12.html;interne;soigner-covid.html;;soigner_covid
12.html;interne;advocat.html;;advocat
12.html;interne;iest-paris.html;;iest_paris
12.html;interne;iest-france.html;;iest_france
12.html;interne;simcard.html;;simcard
12.html;interne;mineur-non-accompagne.html;;mineur_non_accompagné
12.html;interne;mineur-consulat.html;;mineur_consulat
12.html;interne;mineur-ecole.html;;mineur_ecole
12.html;interne;mineur-divers.html;;mineur_divers
12.html;interne;sante-france.html;;sante_france
12.html;interne;banque-ada.html;;banque_ADA
12.html;interne;banque-change.html;;banque_change
12.html;interne;zashita-evrop.html;;zashita_evrop
12.html;interne;banque-compte.html;;banque_compte
12.html;interne;gare-est.html;;gare_est
12.html;interne;paris-verneuil.html;;paris_verneuil
12.html;interne;neofitsine-zhitlo.html;;neofitsine_zhitlo
12.html;interne;orendu-kvartiri.html;;orendu_kvartiri
12.html;interne;gare-nord-est.html;;gare_nord_est
12.html;interne;21.html;;в дорозі
12.html;interne;22.html;;Ніцці
12.html;interne;23.html;;Страсбурз
12.html;interne;navigo.html;;Знижки_Navigo
12.html;interne;est.html;;маршрут_est
12.html;interne;nord.html;;маршрут_nord
12.html;interne;lyon.html;;маршрут_lyon
12.html;interne;montparnasse.html;;маршрут_montparnasse
12.html;interne;euro-survey.html;;Велике європейське дослідження
12.html;interne;24.html;;Франція<->Україна
12.html;interne;25.html;;Франція->Україна
12.html;interne;26.html;;група_містом
12.html;interne;27.html;;група_країною
12.html;interne;28.html;;корисні_сайти
12.html;interne;29.html;;перекладач
12.html;interne;30.html;;перевезення_посилок
12.html;interne;32.html;;дешеві продукти у Парижі
12.html;interne;31.html;;зникла_безвісти
12.html;interne;33.html;;дешеві продукти у Франції
12.html;interne;ada-.html;;ada_працювати
12.html;interne;artist.html;;artist
12.html;interne;ofitsine-prozhivania.html;;офіційне проживання
12.html;interne;hotel.html;;готель зі знижкою
12.html;interne;alternativne.html;;альтернативне рішення
12.html;interne;sotsialne-zhitlo.html;;соціальне житло
12.html;interne;34.html;;онлайн
12.html;interne;35.html;;франц-париж
12.html;interne;36.html;;Франц-Франція
12.html;interne;caf.html;;CAF
12.html;interne;invalid.html;;invalid
12.html;interne;soigner-online.html;;soigner_online
12.html;interne;adressa.html;;адреса для кореспонденції
12.html;interne;38.html;;тимчасового захисту початковий
12.html;interne;ponovlenia.html;;поновлення
12.html;interne;ofii.html;;Ofii
12.html;interne;pole-emploi.html;;pole emploi
12.html;interne;notarius.html;;нотаріус
12.html;interne;zupinka.html;;зупинка захисту
12.html;interne;pogashenia.html;;погашення
12.html;interne;lyon2.html;;Ліон
12.html;interne;narodzhenia.html;;народження
12.html;interne;bercy.html;;маршрут_bercy
12.html;interne;37.html;;Переїзд
12.html;interne;39.html;;Німеччина
12.html;interne;ada-1.html;;ADA_сума
12.html;interne;40.html;;поновлення_Париж
12.html;interne;41.html;;поновлення_передмістя
12.html;interne;42.html;;поновлення_Франція
12.html;interne;43.html;;маршрут_префектура
12.html;interne;44.html;;соціальний працівник
12.html;interne;45.html;;водійські права
12.html;interne;46.html;;водіння у франції
12.html;interne;47.html;;страхування
12.html;interne;48.html;;парковка
12.html;interne;49.html;;аварія
12.html;interne;50.html;;механік
12.html;interne;51.html;;оренда
12.html;interne;52.html;;автошкола
12.html;interne;53.html;;купити Продати
12.html;interne;54.html;;вантажний транспорт
12.html;interne;55.html;;меблі
